Symbol,Description
ACRO,PT Samcro Hyosung Adilestari Tbk Class A
ACST,PT Acset Indonusa Tbk
ADCP,PT Adhi Commuter Properti Tbk
ADHI,PT Adhi Karya (Persero) Tbk
AEGS,PT Anugerah Spareparts Sejahtera Tbk
AGRO,PT Bank Raya Indonesia Tbk
AGRS,PT Bank IBK Indonesia Tbk
AHAP,PT Asuransi Harta Aman Pratama Tbk
AISA,PT FKS Food Sejahtera Tbk Class A
ALII,PT Ancara Logistics Indonesia Tbk
AMAN,PT Makmur Berkah Amanda Tbk
AMMS,PT Agung Menjangan Mas Tbk
ANDI,PT Andira Agro Tbk
APLN,PT Agung Podomoro Land Tbk
ARNA,PT Arwana Citramulia Tbk
ASHA,PT Cilacap Samudera Fishing Industry Tbk
ASPR,PT Asia Pramulia Tbk
ASRI,PT Alam Sutera Realty Tbk
ATLA,PT Atlantis Subsea Indonesia Tbk
AVIA,PT Avia Avian Tbk
AWAN,PT Era Digital Media Tbk
AXIO,PT Tera Data Indonusa Tbk
BABP,PT Bank MNC Internasional Tbk
BACA,PT Bank Capital Indonesia Tbk
BAIK,PT Bersama Mencapai Puncak Tbk
BAJA,PT Saranacentral Bajatama Tbk
BANK,PT Bank Aladin Syariah Tbk
BAPA,PT Bekasi Asri Pemula Tbk
BAPI,PT Bhakti Agung Propertindo Tbk
BBRM,PT Pelayaran Nasional Bina Buana Raya Tbk
BCAP,PT MNC Kapital Indonesia Tbk
BCIP,PT Bumi Citra Permai Tbk
BDKR,PT Berdikari Pondasi Perkasa Tbk
BEER,PT Jobubu Jarum Minahasa Tbk
BEKS,PT Bank Pembangunan Daerah Banten (Perseroda) Tbk Class A
BELL,PT Trisula Textile Industries Tbk
BEST,PT Bekasi Fajar Industrial Estate Tbk
BGTG,PT Bank Ganesha Tbk
BHIT,PT MNC Asia Holding Tbk
BIKE,PT Sepeda Bersama Indonesia Tbk
BINO,PT Perma Plasindo Tbk
BJTM,PT Bank Pembangunan Daerah Jawa Timur Tbk Class B
BKSW,PT Bank QNB Indonesia Tbk
BMBL,PT Lavender Bina Cendikia Tbk
BMHS,PT Bundamedik Tbk
BMTR,PT Global Mediacom Tbk
BNBR,PT Bakrie & Brothers Tbk Class A
BOAT,PT Newport Marine Services Tbk
BSBK,PT Wulandari Bangun Laksana Tbk
BSML,PT Bintang Samudera Mandiri Lines Tbk
BTEK,PT Bumi Teknokultura Unggul Tbk
BVIC,PT Bank Victoria International Tbk
CARE,PT Metro Healthcare Indonesia Tbk
CARS,PT Industri dan Perdagangan Bintraco Dharma Tbk
CGAS,PT Citra Nusantara Gemilang Tbk
CHEK,PT Diastika Biotekindo Tbk
CHEM,PT Chemstar Indonesia Tbk
CINT,PT Chitose Internasional Tbk
CITY,PT Natura City Developments Tbk
CLEO,PT Sariguna Primatirta Tbk
CNKO,PT Exploitasi Energi Indonesia Tbk Class A
CNMA,PT Nusantara Sejahtera Raya Tbk
COAL,PT Black Diamond Resources Tbk
CRSN,PT Carsurin Tbk
CSMI,PT Cipta Selera Murni Tbk
CTTH,PT Citatah Tbk
DADA,PT Diamond Citra Propertindo Tbk
DEWI,PT Dewi Shri Farmindo Tbk
DFAM,PT Dafam Property Indonesia Tbk
DGIK,PT Nusa Konstruksi Enjiniring Tbk
DGNS,PT Diagnos Laboratorium Utama Tbk
DGWG,PT Delta Giri Wacana Tbk
DILD,PT Intiland Development Tbk
DKHH,Pt Cipta Sarana Medika Tbk.
DMAS,PT Puradelta Lestari Tbk
DNAR,PT Bank Oke Indonesia Tbk
DPUM,PT Dua Putra Utama Makmur Tbk
DSFI,PT Dharma Samudera Fishing Industries Tbk
ELIT,PT Data Sinergitama Jaya Tbk
ELTY,PT Bakrieland Development Tbk Class A
EMDE,PT Megapolitan Developments Tbk
ERAL,PT Sinar Eka Selaras Tbk
ESIP,PT Sinergi Inti Plastindo Tbk
ESTA,PT Esta Multi Usaha Tbk
FIRE,PT Alfa Energi Investama Tbk
FLMC,PT Falmaco Nonwoven Industri Tbk
FOLK,PT Multi Garam Utama Tbk
FORE,PT Fore Kopi Indonesia Tbk
FWCT,PT Wijaya Cahaya Timber Tbk
GEMA,PT Gema Grahasarana Tbk
GGRP,PT Gunung Raja Paksi Tbk
GIAA,PT Garuda Indonesia (Persero) Tbk Class B
GJTL,PT Gajah Tunggal Tbk
GMFI,PT Garuda Maintenance Facility Aero Asia Tbk
GPRA,PT Perdana Gapuraprima Tbk
GPSO,PT Geoprima Solusi Tbk
GRIA,PT Ingria Pratama Capitalindo Tbk
GRPH,PT Griptha Putra Persada Tbk
GSMF,PT Equity Development Investment Tbk Class A
GTRA,PT Grahaprima Suksesmandiri Tbk
HAIS,PT Hasnur Internasional Shipping Tbk
HAJJ,PT Arsy Buana Travelindo Tbk
